10	350693	0.188761
10	796468	0.165706
10	1224581	0.785303
10	1279272	0.815562
10	1393592	0.889049
10	1449377	0.092219
10	2102433	0.0605187
10	4667529	0.237752
10	4911158	0.165706
10	5034016	0.386167
10	5420851	0.0259366
10	5550768	0.0662824
10	5663691	0.262248
10	6417724	0.018732
10	6747521	0.157061
10	7165106	0.458213
10	7545524	0.0432277
10	9604930	0.365994
10	10232427	0.240634
10	11699441	0.857349
10	13269807	0.396254
10	13389006	0.0576369
10	14340610	0.318444
10	15551279	0.645533
10	15735617	0.185879
10	16988787	0.227666
10	18788390	0.175793
10	20036177	0.504323
10	20162462	0.149856
10	21192389	0.0201729
10	21521210	0.0230548
10	24215163	0.108069
10	25599875	0.338617
10	26983024	0.582133
10	27130625	0.551873
10	27336671	0.459654
10	27903768	0.678674
10	28702072	0.306916
10	28921788	0.123919
10	29060698	0.100865
10	29770786	0.677233
10	29827355	0.145533
10	30472411	0.543228
10	31731063	0.122478
10	32379600	0.976945
10	33467539	0.106628
10	33874231	0.151297
10	37217312	0.178674
10	38167038	0.819885
10	38677789	0.536023
10	42382342	0.430836
10	44548259	0.0878963
10	48500100	0.0331412
10	48907434	0.285303
10	52540483	0.756484
10	53798924	0.154179
10	54225761	0.018732
10	55030395	0.361671
10	55814018	0.226225
10	56937275	0.0936599
10	58224183	0.100865
10	59261217	0.779539
10	59334656	0.302594
10	64152808	0.0302594
10	64657502	0.10951
10	65327084	0.229107
10	66437582	0.599424
10	67025536	0.158501
10	67572596	0.0634006
10	67827726	0.273775
10	67890325	0.236311
10	68272893	0.15562
10	68746991	0.759366
10	70068577	0.694524
10	71135074	0.0201729
10	72323275	0.453891
10	72717030	0.126801
10	73030775	0.847262
10	73094420	0.243516
10	73731768	0.17147
10	74308804	0.5
10	78316240	0.845821
10	78978242	0.0461095
10	79543819	0.466859
10	80400029	0.129683
10	80462933	0.113833
10	80845405	0.181556
10	81417283	0.244957
10	82232706	0.416427
10	82510574	0.139769
10	84676590	0.495677
10	85212217	0.0331412
10	85345465	0.0634006
10	86083579	0.247839
10	86795027	0.512968
10	86858515	0.142651
10	87726722	0.0850144
10	89172143	0.0533141
10	89435483	0.417867
10	90760606	0.4683
10	90904111	0.544669
10	91121907	0.302594
10	93729736	0.103746
10	94155846	0.289625
10	95361588	0.138329
10	95504610	0.708934
10	95641485	0.510086
10	97029366	0.0432277
10	97329911	0.0446686
10	98212575	0.482709
10	98441768	0.23487
10	98968967	0.524496
10	100302852	0.0230548
10	101084483	0.177233
10	101635461	0.639769
10	102024311	0.0100865
10	102925367	0.801153
10	105255614	0.129683
